交易日期,月份,交易类型,基金代码,基金名称,申请金额,申请份额,确认金额,确认份额,手续费,单位确认净值
2026年5月18日,2026-05,定投买入,110026,易方达创业板ETF联接A,1500,,1500,376.45,1.8,3.9798
2026年5月18日,2026-05,定投买入,011608,易方达科创50联接A,1500,,1500,1142.52,0.9,1.3121
2026年5月12日,2026-05,定投买入,000216,华安黄金ETF联接A,500,,500,140.07,0.3,3.5675
2026年5月12日,2026-05,定投买入,007028,易方达中证500ETF联接A,1500,,1500,721.56,0.75,2.0778
2026年5月8日,2026-05,定投买入,110020,易方达沪深300ETF联接A,1000,,1000,509.7,1.2,1.9596
2026年5月8日,2026-05,定投买入,009051,易方达中证红利ETF联接A,500,,500,385.21,0.3,1.2972
2026年5月6日,2026-05,用户卖出,110026,易方达创业板ETF联接A,0,51.42,197.61,51.42,0.2,3.8392
2026年5月6日,2026-05,用户卖出,011608,易方达科创50联接A,0,449.3,571.48,449.3,0.57,1.2707
2026年4月24日,2026-04,用户买入,110020,易方达沪深300ETF联接A,1000,,1000,520.45,1.2,1.9191
2026年4月23日,2026-04,用户买入,009051,易方达中证红利ETF联接A,2000,,2000,1539.43,1.2,1.2984
2026年4月20日,2026-04,定投买入,011608,易方达科创50联接A,1200,,1200,1072.03,0.72,1.1187
2026年4月15日,2026-04,定投买入,110026,易方达创业板ETF联接A,900,,900,251.45,1.08,3.5749
2026年4月15日,2026-04,定投买入,007028,易方达中证500ETF联接A,600,,600,314.72,0.3,1.9055
2026年4月10日,2026-04,定投买入,110020,易方达沪深300ETF联接A,300,,300,160.59,0.36,1.8659
2026年3月20日,2026-03,定投买入,011608,易方达科创50联接A,1200,,1200,1174.5,0.72,1.0211
2026年3月16日,2026-03,定投买入,110026,易方达创业板ETF联接A,900,,900,262.8,1.08,3.4205
2026年3月16日,2026-03,定投买入,007028,易方达中证500ETF联接A,600,,600,309.91,0.3,1.9351
2026年3月10日,2026-03,定投买入,110020,易方达沪深300ETF联接A,300,,300,159.38,0.36,1.8800
